title,description,start_date,place,number_of_deaths,causes_of_violence,sources_of_information,lga
"Post Election Violence, Rivers","2 members of All Progressive Congress (APC), Messrs Chigba Apollos and Chiezule German, were shot dead by unknown gunmen. Their death was not unconnected with the recent spate of political killings that have characterised the area. The date of the incident was not given but it is assumed that it happened 2 days before it was reported",2015-04-23T23:00:00.000Z,Ibarikpo,2,political issue,Other newspaper 2 (2 ),Eleme
"Fulani Herdsmen vs Community, Benue",A reprisal attack by Fulani herdsmen for the killing of 2 of their kinsmen resulted in the death of 28 people in different villages. The 2 herdsmen were reported killed by gunmen believed to be robbers.,2015-04-23T23:00:00.000Z,"Tse Uosu, Gbudu and Branch Umenger",19,crime,"Vanguard (30 ) , The Nation (10 ) , Other newpapers 1 (14 ) , Nigerian Tribune (22 )",Guma
"Assailants Vs Fulani Herdsmen, Kaduna",4 Fulani herders were killed by unknown gunmen. The unknown assailants attacked the herdsmen in the grazing fields.,2015-04-23T23:00:00.000Z,Zonkwa,4,crime,Daily Trust (4 ),Zangon-Kataf
"Cattle Rustlers Kill 3, Benue","3 people including an Assistant Superintendent of Police , ASP, Baba Ibrahim, a cattle herder, Gambo Muhammed and a cattle breeder were killed in an ambush by cattle rustlers.",2015-04-22T23:00:00.000Z,Katsina-Ala,3,crime,Vanguard (3 ),Katsina-Ala
"Boko Haram Attack, Borno","A border community was invaded by over 2000 Boko haram insurgents and several people were killed. Since it was reported that scores died, it is assumed that at least 2 scores (40 people) died in the attack.",2015-04-22T23:00:00.000Z,Marte,40,"political issue, religious issue","Daily Trust (40 ) , The Punch (40 )",Marte
"Boko Haram, Borno","In the course hunting for Boko Haram leaders and the members in Sambisa forest, one of the vehicles carrying CJTF (Civilian Joint Task Force) hit a mine. A soldier and 3 CJTF were killed while another soldier was injured.",2015-04-21T23:00:00.000Z,Sambisa Forest.,4,"political issue, religious issue",Independent (4 ),Bama
"Boko Haram vs Army, Borno","Abu Mojahid, a notorious top terrorist commander of the Boko Haram insurgents, was among those killed by the army. The deaths occurred when the insurgents had an encounter with troops. The report was not really specific on the number of casualties but from its tone, it is assumed that not less than 10 insurgents were killed.",2015-04-20T23:00:00.000Z,Alagarno,10,"political issue, religious issue",Daily Trust (10 ),Kukawa
"Fulani Herdsmen, Taraba","Attackers suspected to be Fulani Herdsmen assaulted some communities and killed 15 person. Many people were also declared missing. Msugh Gaza, 3 of his sons and 3 other victims died in the attack.",2015-04-19T23:00:00.000Z,"Gaza, Tse Gbaun and Ayise villages.",10,crime,"Nigerian Tribune (7 ) , Vanguard (7 ) , The Punch (15 )",Donga
"Boko Haram Vs Army, Borno","2 soldiers were killed by Boko Haram insurgents. The insurgents attacked the vehicles of the soldiers, who were escorting internally displaced people back to their homes, with rocket. Also, 6 soldiers and 1 civilian vigilante were seriously wounded.",2015-04-18T23:00:00.000Z,Baga,2,"religious issue, political issue",The Nation (2 ),Kukawa
"Post Election Violence, Rivers","2 persons were attacked by unknown gunmen, including a man killed in his car and taken away by his assailants. Another victim also fell to the bullets of the gunmen in his house. The incident is part of the violence that trailed the just concluded elections in the state.",2015-04-17T23:00:00.000Z,Okrika.,2,political issue,The Punch (2 ),Okrika
"Communal Clash, Benue",Bloody communal crisis between 2 communities claimed over 60 lives and left many others injured following a dispute between fishing communities over the ownership of a fishing pond in the area.,2015-04-16T23:00:00.000Z,Egba and Ologba communities.,51,"crime, land issue","Nigerian Tribune (45 ) , Independent (48 ) , Vanguard (60 ) , This Day (50 )",Agatu
"Cattle Rustler, FCT (Abuja)",A cattle rustler was shot dead by a herder during a raid on a Fulani settlement. The herder climbed a tree from where he shot dead one of the rampaging cattle rustlers.,2015-04-15T23:00:00.000Z,Zuba,1,crime,Daily Trust (1 ),Abuja Municipal
"Boko Haram Attacks, Borno",12 people were killed when Boko Haram insurgents invaded their community and slit their throats. The attack was carried out when the army was trying to evacuate civilians to safe zones following a planned air strike.,2015-04-14T23:00:00.000Z,Gwoza,12,"political issue, religious issue",The Nation (12 ),Gwoza
"Gunmen vs Fulani Herdsmen, Kwara","44 herdsmen were reported to have been killed within a month by gunmen. While some were killed on their way to a meeting, others were killed on their way to grazing. The exact date in April was not stated hence the incident is backdated to the middle of April.",2015-04-14T23:00:00.000Z,Oru-Agu,44,crime,Daily Trust (44 ),Moro
"Army vs Boko Haram, Borno","7 Boko haram insurgents were killed when troops repelled an attack on 121 Task Force Battalion. The insurgents attempted the invasion with 5 gun trucks, motorcycles and 2 Golf cars laden with explosives.",2015-04-14T23:00:00.000Z,Pulka,7,"religious issue, political issue","Other newspaper 2 (7 ) , Vanguard (7 )",Gwoza
"Gunmen vs Graduate, Delta","A 32-year-old graduate of University of Nigeria, Nsukka, Mr Eugine Ujayikre Ighoesuvwo was killed by a group of unknown gunmen. The gunmen attacked him in his one-room apartment.",2015-04-13T23:00:00.000Z,"No 20B Otobo Street, Ughelli",1,crime,Other newspaper 2 (1 ),Ughelli North
"Boko Haram Attack, Borno","6 out of the 216 school girls abducted by Boko Haram in April, 2014 were reported to have died in captivity. The news of their deaths was relayed by a Chibok school girl rescued after 2 years from Sambisa forest where they were believed to have been kept. Though details of their deaths were not released, it is believed that some of them might have been killed after refusing to denounce their religion. In the past, Boko haram had killed several people that refused converting to Islam. This incident is backdated by a year when the girls were abducted by the insurgents since no date was reported by the source.",2015-04-13T23:00:00.000Z,Sambisa Forest,6,"political issue, religious issue","The Punch (6 ) , Vanguard (6 )",Bama
"Election Violence, Benue",1 person was gunned down by unknown gunmen. The death may not be unconnected with the wave of political disagreement that characterised elections in that part of the state.,2015-04-10T23:00:00.000Z,North Bank Area,1,political issue,Vanguard (1 ),Makurdi
"Election Day Violence, Kebbi","Unknown gunmen shot dead one Umaru Gomma, a renowned APC politician in the area during the gubernatorial and the house of assembly elections.",2015-04-10T23:00:00.000Z,Kanya.,1,political issue,Other newspaper 2 (1 ),Wasagu/Danko
"Election Violence, Benue",2 persons were shot dead by unknown gunmen. Their death may not be unconnected with the wave of political disagreement that have characterised elections in that part of the state.,2015-04-09T23:00:00.000Z,Zaki-Biam,2,political issue,Vanguard (2 ),Ukum
"Cattle Rustlers, FCT (Abuja)",A herdsman was shot dead by cattle rustlers during a raid on a settlement. The victim was shot while trailing the rustlers.,2015-04-09T23:00:00.000Z,Zagabutu,1,crime,Daily Trust (1 ),Kuje
"Boko Haram Attack, Borno","20 residents were killed when Boko haram insurgents attacked a community. According to the report, the insurgents have camps in nearby bushes where they launch the attacks.",2015-04-08T23:00:00.000Z,Askira,20,"political issue, religious issue",Daily Trust (20 ),Askira/Uba
"Boko Haram Kills 2, Borno","Boko Haram insurgents on motorcycles attacked a village, killed 2 people and injured 3 others.",2015-04-08T23:00:00.000Z,Buratai village.,2,"political issue, religious issue",Daily Trust (2 ),Biu
"Gunmen Attack, Kaduna","Gunmen opened fire on traders in a market and killed 14 Fulani herdsmen, including a 70 year old man and children. Many others were wounded.",2015-04-07T23:00:00.000Z,Sabon Birni Deji market,14,crime,"Nigerian Tribune (14 ) , Other newspaper 2 (14 )",Igabi
"Armed Robbers, Delta",2 persons were killed by suspected armed bandits. One of the deceased was a 26-years old jobless young graduate who was stabbed to death for refusing to hand over his bag to the arm robbers. The other deceased person was a middle-aged man.,2015-04-07T23:00:00.000Z,"Warri garage, Old Leventis junction",2,crime,Other newspaper 2 (2 ),Warri south west
"Robbers vs Vigilante, Lagos","A local vigilante identified simply as Matthew, was beaten to death with a stone by a gang of armed bandits after several shots fired at him did not penetrate his body.",2015-04-05T23:00:00.000Z,"At Alafia Street, Iju-Ishaga.",1,crime,Vanguard (1 ),Ifako-Ijaiye
"Funlani Herdsmen Attack, Kwara","Raphael Shola Dada, a 52-year-old farmer was strangled to death in his farm by Fulani herdsmen. The victims had protested the invasion of his farm his assailants before he was hacked to death. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.",2015-04-05T23:00:00.000Z,Olorunshogo compound in Eruku,1,crime,Other newspaper 2 (1 ),Ekiti LGA
"Post Election Violence, Rivers","Chief Okwu Osia, the ruler of Egbada, was killed by unknown gunmen. They also killed a passer-by. It was alleged that the deaths were politically motivated.",2015-04-03T23:00:00.000Z,ONELGA Area,2,"political issue, crime",The Nation (2 ),Ogba/Egbema/Ndoni
"Hunters Vs Cattle Rustlers, Katsina",About 10 people were feared dead during a clash between hunters and suspected cattle rustlers. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-04-03T23:00:00.000Z,Jibiya,10,crime,Other newspaper 2 (10 ),Jibia
"Gunmen Vs Community, Zamfara","10 people were killed by unknown gunmen numbering over fifty (50). The gunmen, who rode into the village on motorcycles, fired indiscriminately at the people. Besides, several other people were wounded.",2015-04-03T23:00:00.000Z,Dorayi Village,10,crime,The Guardian (10 ),Zurmi
"Army vs Boko Haram, Borno",Dozens (at least 2 dozens) of Boko haram insurgents were killed by soldiers during a raid on one of their strongholds and operational base.,2015-04-02T23:00:00.000Z,Alagarno village,24,"political issue, religious issue",Daily Trust (24 ),Damboa
"Boko Haram Killing, Borno",About 15 suspected Boko Haram insurgents attacked and killed 4 fishermen.,2015-04-02T23:00:00.000Z,Alau Village,4,"political issue, religious issue",Daily Trust (4 ),Maiduguri
"Boko Haram vs Vigilantes , Borno",15 suspected Boko Haram insurgents who attacked and killed 4 fishermen in Alau village (IBD005381) were routed and killed by local vigilantes from Maiduguri.,2015-04-02T23:00:00.000Z,Balle,15,"political issue, religious issue",Daily Trust (15 ),Maiduguri
"Boko Haram Suicide Bomber, Gombe",7 people died when a female suicide bomber detonated explosives in a motor park. Many women and girls (we assume 5) who were hawking at the park were victims. The attack is believed to have been masterminded by the Boko haram sect.,2015-04-01T23:00:00.000Z,"Bauchi motor park, Gombe",7,"political issue, religious issue",Daily Trust (7 ),Gombe LGA
"Fulani Herdsmen, Benue",9 persons were killed when Fulani Herdsmen attacked 2 villages. Several houses were razed during the incident.,2015-03-31T23:00:00.000Z,Taser Tume and Agaraga 'vill;ages,9,crime,Daily Trust (9 ),Logo
"Fulani Herdsmen, Benue",Fulani herdsmen killed 12 residents in a renewed attack on 2 communities. There have been several violent clashes between the herdsmen and Tiv farmers in the state lately.,2015-03-30T23:00:00.000Z,Tse Tume and Agaraga villages,21,crime,"Nigerian Tribune (12 ) , Daily Trust (12 ) , Independent (31 ) , Other newspaper 2 (30 )",Logo
"Army vs Boko Haram, Gombe",Some Boko Haram insurgents were killed by men of 301 Artillery Regiment of the Army. This happened when the insurgents attacked a military checkpoint.,2015-03-29T23:00:00.000Z,Dukku,4,"political issue, religious issue","The Nation (3 ) , Vanguard (4 )",Dukku
"Electoral/Political Violence, Kogi",4 people including Mr. Emmanuel Ameh died during a clash between political supporters. The crisis that resulted in the deaths erupted after the 2015 Presidential election.,2015-03-27T23:00:00.000Z,Iyano,4,political issue,The Nation (4 ),Ibaji
"Boko Haram in Election Violence, Borno",25 people were killed by Boko Haram insurgents during an early morning raid on presidential election day.,2015-03-27T23:00:00.000Z,Buratai Town,25,"religious issue, political issue",Daily Trust (25 ),Biu
"Boko Haram in Election Attack, Gombe","Umar Aminu, a member Gombe State House of Assembly and 8 other people including 2 INEC ad-hoc staff were killed by suspected members of Boko Haram.",2015-03-27T23:00:00.000Z,Dukku and Nafada areas,10,"political issue, religious issue","Daily Trust (9 ) , Independent (15 ) , Other newspaper 2 (7 ) , Nigerian Tribune (9 )","Dukku, Nafada"
"Boko Haram Attack, Yobe",3 persons were shot dead by suspected Boko Haram insurgents while on their way to a polling unit. Another source recorded 1 fatality.,2015-03-27T23:00:00.000Z,Ngalda,2,"political issue, religious issue","Other newpapers 1 (1 ) , The Nation (3 )",Fika
"Military vs Boko Haram, Borno",Over 100 (at least 101) insurgents were killed by soldiers as they liberated the last stronghold of the Boko Haram terrorists.,2015-03-26T23:00:00.000Z,Gwoza,101,"political issue, religious issue",Nigerian Tribune (101 ),Gwoza
"Gunmen Attack, Kaduna",20 Fulani herdsmen were killed when gunmen attacked a community. This incident was reported to have happened towards the end of March. It is therefore assumed to have happened on the 27th. This event is linked to event in IBD005408.,2015-03-26T23:00:00.000Z,Sabon Birni,20,crime,Nigerian Tribune (20 ),Igabi
"Boko Haram Attack, Borno",50 people were killed by Boko haram insurgents during a recent attack on a community. About 400 people including women and children were kidnapped during the raid.,2015-03-23T23:00:00.000Z,Damasak,50,"political issue, religious issue","Vanguard (50 ) , Other newpapers 1 (50 )",Mobbar
"Gunmen Kill 2, Rivers",2 people including a politician and a driver were shot dead by unknown gunmen. The gunmen alighted from the vehicle and shot at the victims. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-03-23T23:00:00.000Z,D-Line area of Port Harcourt,2,crime,Other newspaper 2 (2 ),Port-Harcourt
"Fulani Herdsmen Attack, Taraba","Five (5) persons were killed by suspected Fulani herdsmen numbering about 200, who attacked the village, shooting sporadically. Many other people were injured.",2015-03-22T23:00:00.000Z,Ananum village,5,crime,Daily Trust (5 ),Donga
"Boko Haram Suicide Bomber, Borno",2 women disembarked from a Golf car and asked to be directed to Monday market were killed by improvised explosive devices that were on them when the explosives suddenly got detonated.,2015-03-21T23:00:00.000Z,Auno village.,2,"political issue, religious issue","Other newspaper 2 (2 ) , The Punch (2 )",Konduga
"Soldiers vs Boko Haram, Borno","20 Boko haram insurgents and a soldier died during a confrontation. Many more insurgents were also killed when an Air Force patrol struck the fleeing insurgents. From the way the event was reported, it is assumed that 10 more victims were killed.",2015-03-20T23:00:00.000Z,Bama,31,"political issue, religious issue","The Nation (31 ) , Other newpapers 1 (31 )",Bama
"Bandits vs Traders, Katsina",A businessman was killed by bandits while traveling to a market. It was reported that the deceased and other victims were ambushed by the gunmen.,2025-02-09T23:00:00.000Z,Dandume Road,1,crime,"Daily Trust (1 ) , Vanguard (1 )",Dandume
"Banditry, Zamfara",3 people were killed and 24 others were abducted by bandits who invaded some communities. Several others were injured in the incident.,2023-04-29T23:00:00.000Z,"Jangeru, Shanawa, and Birnin Yero Villages in Shinkafi Town",3,crime,"Daily Trust (3 ) , The Guardian (3 )",Shinkafi
"Election Crisis, Kogi","A hoodlum popularly known as Ojochenemi Atidoga was stabbed to death by a soldier for disrupting the election process. Before the incident, the hoodlum was said to be on a rampage, threatening to kill anybody who voted for any other party other than the All Progressives Congress, APC.",2023-02-24T23:00:00.000Z,"Open Space University Village polling unit, Anyigba",1,political issue,"Vanguard (1 ) , The Guardian (1 ) , The Punch (1 )",Dekina
"Fulani Herdsmen, Enugu",2 persons were killed and 5 others were injured by some Fulani Herders who invaded a community. It was reported that the herders attacked the residents while they were working on their farm.,2023-02-16T23:00:00.000Z,"Awgu Egbeleli, an ancient town subdivided into Ogboli/Ohaja; Ugwuleshi, and Adogbator Communities",2,"cattle grazing, land issue",Vanguard (2 ),Agwu
"Gunmen vs Ex-Commissioner, Enugu","IPOB/ESN: Unidentified gunmen killed the former commissioner for Rural Development in the state, Ozo Gabriel Onuzulike and his elder brother, Elvis Onuzulike. They were shot at close range by the killers. The gunmen were alleged to be members of the Indigenous People of Biafra (IPOB).",2022-11-17T23:00:00.000Z,Nkpokolo-Achi in Oji River,2,"crime, political issue","Other newspaper 3 (2 ) , The Punch (2 ) , The Nation (2 )",Oji-River
"Bandits vs Presidential Convoy, Katsina","People died while 2 others sustained minor injuries when bandits attacked the advanced team of security guards, protocol and media officers ahead of President Buhari's Sallah trip to his hometown in Daura. Due to the nature of the story, it is assumed that 10 people were killed.",2022-07-04T23:00:00.000Z,Kurfi,2,crime,This Day (2 ),Kurfi
"Fulani Herdsmen Attack, Benue",`6 people were killed when suspected Fulani herdsmen attacked a community. Another person was killed while a mother and her son were kidnapped when the same group of attackers blocked a highway. 15 people were wounded while scores of passengers were stranded on the highway.,2021-05-26T23:00:00.000Z,Naka-Makurdi Road,6,"cattle grazing, land issue","Nigerian Tribune (6 ) , Other newpapers 1 (6 ) , Daily Trust (6 ) , The Nation (7 )",Gwer West
"Army vs Bandits, Zamfara","Troops of Nigerian Army of Operation Sharan Daji (OPSD) killed 20 notorious bandits terrorising the state. It was reported that several caches of arms were recovered from the bandits. Due to the nature of the story, it was backdated by 1 week.",2018-11-13T23:00:00.000Z,Zamfara,20,crime,"Other newpapers 1 (20 ) , Daily Trust (20 )",Gusau
"Army vs Bandits, Zamfara","The Nigerian Air Force (NAF) killed several bandits through airstrikes in a forest where the bandits were converging. Due to the nature of the story, it is assumed that 20 persons were killed.",2018-08-24T23:00:00.000Z,Bayan Ruwa and Rugu forest,20,crime,Nigerian Tribune (20 ),Birnin Magaji Kiyaw
"Herdsmen Attack, Plateau",8 persons lost their lives while 10 others were injured when Fulani herdsmen attacked a village.It was reported that the attack which took place in the night left 20 houses burnt.,2018-01-24T23:00:00.000Z,Jabu-Maingo village,5,"cattle grazing, land issue","Other newpapers 1 (8 ) , The Punch (3 ) , Daily Trust (4 ) , The Guardian (5 )",Bassa (Plateau)
"Herdsmen, Attack, Kaduna",Gunmen suspected to be Fulani herdsmen killed 2 people in renewed attacks on some communities.,2017-01-06T23:00:00.000Z,"Tsonje village, near Kagoro town",2,crime,The Guardian (2 ),Kauru
"Soldiers vs Boko Haram, Borno",2 Boko haram members were shot dead by soldiers during a shootout during a clearance operation.,2016-10-10T23:00:00.000Z,Ladin Buta and Juwano villages,2,"religious issue, political issue",Nigerian Tribune (2 ),Jere
"IEDs Boko Haram, Borno","IEDs kill two civilians in a food convoy of trucks escorted by the military on the road to Dikwa. According to another version, the IEDs kill one or two soldiers on 2 May 2016. It is also possible that these were 2 different incidents.",2016-04-24T23:00:00.000Z,Gudumbali / Gudunbari,2,"political issue, religious issue","Other source (private security firms, etc) (2 )",Guzamala
"Raped To Death, Plateau","A lady, Rebecca Reuben, was raped to death by Fulani Herdsmen. her corpse was dumped in an open place by her killers.",2016-04-24T23:00:00.000Z,Gwa-chwel,1,crime,Other newpapers 1 (1 ),Riyom
"Boko Haram Attack, Borno",A top commander of Boko Haram and 55 other militants were killed in a battle with the Multinational Joint Task Force. 2 soldiers were also killed and 2 others sustained injuries.,2016-03-02T23:00:00.000Z,Malumfatori.,57,"political issue, religious issue",Nigerian Tribune (57 ),Abadam
"Fulani Herdsmen Vs Community, Benue","500 persons were killed by Fulani herdsmen in a village. The assailants, who were about 30, attacked the villagers with sophisticated weapons. Among the dead was a little girl identified as Mary. The clash was as a result of cattle rustling by the village youths. Subsequently, more fatalities were reported in different sources.",2016-02-17T23:00:00.000Z,Okokolo village,226,crime,"The Punch (5 ) , Nigerian Tribune (100 ) , Vanguard (300 ) , Daily Trust (500 )",Agatu
"Cart Pusher, Lagos","A cart pusher, Abdullahi Mohammed, was assaulted and killed in a fracas caused by a traditional ruler. The cause of the crisis could not be established. It is assumed that it happened 2 days before it was reported since the date of the incident was not reported",2016-02-17T23:00:00.000Z,Odumade-Solumade community,1,crime,Other newspaper 2 (1 ),Ikorodu
"Soldiers vs Boko Haram, Yobe","5 Boko haram insurgents were killed by soldiers during a bloody encounter in a village. 210 persons including elderly men, women and children were rescued during the operation.",2015-12-09T23:00:00.000Z,Furkati,5,"political issue, religious issue",This Day (5 ),Geidam
"Boko Haram Suicide Bombers, Kano","2 Boko Haram suicide bombers detonated bombs amidst a group of Shiite Muslims headed by Ibrahim El-Zakzaky. The incident happened when the bombers infiltrated the religious procession to commemorate the life of Imam Hussein, Prophet Muhammed's grandson by the Shiite Islamic group. The deceased were mainly women and children while more than 50 person were injured.",2015-11-26T23:00:00.000Z,Dakasoye village,21,"political issue, religious issue","The Punch (21 ) , Daily Trust (21 )",Kura
"Boko Haram vs Army, Borno",A soldier was killed by Boko haram insurgents barely 24 hours a Colonel was killed by the same group. Five of the insurgents and a member of Civilian JTF were also killed in the encounter.,2015-11-04T23:00:00.000Z,"Geram, Bulankassa, Chukungudu",4,"political issue, religious issue","The Punch (6 ) , Other newpapers 1 (1 )",Biu
"Soldiers vs Boko Haram, Borno",Soldiers recaptured a strategic town from Boko haram and killed scores (at least 2 scores) of the insurgents. Some of the insurgents were also arrested.,2015-08-31T23:00:00.000Z,Gomboru Ngala,40,"political issue, religious issue",Nigerian Tribune (40 ),Ngala
"Gunmen Vs Businessman, Kogi","An oil dealer, Alhaji Abdullahi, was shot dead by unknown gunmen. The victim was trailed from his filling station as he travelled to his village. The gunmen also made away with undisclosed amount of money belonging to the victim.",2015-08-31T23:00:00.000Z,Ankpa,1,crime,Other newspaper 2 (1 ),Anpka
"Gunmen vs Businessman, Kaduna","One Alhaji Kabiru Adamu, a businessman and education supervisor, was killed by unknown gunmen. The gunmen stormed his house in the night and beat him to death for failing to give them the money they requested for. Due to the nature of the story this event is backdated by 2 weeks.",2015-07-12T23:00:00.000Z,Makarfi,1,crime,Daily Trust (1 ),Makarfi
"Boko Haram Bomb, Borno",A man identified as Musa and 2 of his friends lost their lives during a bomb blast which happened while they were on a hunting game. The bomb which was reportedly dropped by Boko Haram fighters also crippled two other persons including Muhammadu.,2015-06-30T23:00:00.000Z,Biu,3,"religious issue, political issue",The Nation (3 ),Biu
"Boko Haram Suicide Bomber, Kaduna",26 civil servants were killed when a teenage suicide bomber (a boy) detonated a bomb at the venue of a biometric verification centre of workers' status. 31 persons were injured in the attack.,2015-07-06T23:00:00.000Z,"Sabongari Local Government Secretariat, Zaria",34,"political issue, religious issue","Other newspaper 2 (26 ) , The Punch (40 ) , Independent (50 ) , Nigerian Tribune (30 ) , Vanguard (25 )",Sabon-Gari
"Soldiers vs Boko Haram, Borno",A Boko haram insurgent was killed by soldiers while escaping a military raid. The soldiers have raided 4 camps in the forest used by the terrorists as their operational base. 31 people were also rescued from the terrorists.,2015-06-02T23:00:00.000Z,Sambisa forest,1,"political issue, religious issue",Nigerian Tribune (1 ),Gwoza
"Boko Haram Suicide Bomber, Yobe",A10 year- old- girl detonated an explosive under her clothes as she approached the market’s perimeter fence killing 9 people. The attack is believed to have been masterminded by Boko Haram sect.,2015-05-15T23:00:00.000Z,Tasha Market/motor park in Damaturu.,9,"political issue, religious issue","Vanguard (8 ) , Daily Trust (11 ) , The Guardian (9 )",Damaturu LGA
"Fulani Herdsmen Kill 8, Benue",Fulani herdsmen killed 8 people when they attacked a community. Many were wounded and depossessed their belongingings. Properties were also destroyed during the encounter.,2015-05-14T23:00:00.000Z,"Tse-Agbulu, Tse-Atakpa and Tse-Abichi",6,crime,"This Day (8 ) , Nigerian Tribune (3 )",Gwer West
"Boko Haram Attack, Borno","80 people including soldiers, vigilante members,civilians and dozens (assuming 2 dozens) of Boko haram insurgents were killed when the insurgents attempted to overrun Giwa Military Barrack but were repelled.",2015-05-12T23:00:00.000Z,"Bale Galtimari, Kayamala, Giwa Military Barracks, University of Maiduguri Community, 202 and 203 Housing Estates, Dalori Quaters and Moli Axis",61,"religious issue, political issue","Daily Trust (80 ) , The Punch (42 )",Maiduguri
"Fulani Herdsmen vs Farmers, Plateau",2 farmers were killed by Fulani herdsmen who attacked their community when most of the people were asleep.,2015-05-10T23:00:00.000Z,Ropp Village,2,crime,Nigerian Tribune (2 ),Barkin Ladi
"Boko Haram Kills 4, Borno 1",The members of the Boko Haram sect were reported to have killed 4 persons in a village.,2015-05-12T23:00:00.000Z,Munguno,4,"religious issue, political issue",Other newpapers 1 (4 ),Monguno
"Boko Haram Attacks, Borno",3 women died from stray bullets by members of Boko Haram insurgents. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-05-01T23:00:00.000Z,Bama,3,"political issue, religious issue",Vanguard (3 ),Bama
"Boko Haram Suicide Bomber, Yobe",A man suspected to be a Boko haram suicide bomber blew himself up before he could hit his target. He later died in the hospital from excessive bleeding.,2015-04-19T23:00:00.000Z,Bakin Kasuwa,1,"political issue, religious issue",Daily Trust (1 ),Potiskum
"Boko Haram Attacks, Borno",Over two dozens of Boko Haram gunmen attacked a community and killed about 25 people.Other sources gave different casualty figures.,2015-04-05T23:00:00.000Z,"Kayamla, Kwajaffa",31,"political issue, religious issue","The Guardian (24 ) , Nigerian Tribune (43 ) , Vanguard (25 )",Hawul
"Cultists/Gunmen Kill, Imo","Chibuike Omaka, alias Mbele, in his late 20s, was shot dead by unknown gunmen. It was believed to be a war between cult groups.",2015-03-28T23:00:00.000Z,"OppositeFCMB Bank, Along Mbaise Road, Owerri.",1,crime,Vanguard (1 ),Owerri-Municipal
"Political Crisis, Rivers","2 members of the Peoples Democratic Party, Odinaka Wichendu and Nkanum Nwonkwo were killed in their residence when the gunmen raided their houses.",2015-03-19T23:00:00.000Z,Omike-Aluu community.,2,political issue,The Punch (2 ),Ikwerre
"Political Crisis, Rivers","The leader of the All Progressives Congress Tasie Wike was shot dead by suspected political thugs during a ward-to-ward campaign for Dr. Dakuku Peterside, the party’s governorship candidate.",2015-03-19T23:00:00.000Z,Rumueprikom.,1,political issue,Independent (1 ),Obio/Akpor
"Fulani Herdsmen vs Octogenarian, Enugu","Chief Tagbuo Oguejiofor, a 85-year-old member of the traditional rulers was shot dead in his house by Fulani herdsmen over an undisclosed issue.",2015-03-18T23:00:00.000Z,Eke community.,1,crime,"Vanguard (1 ) , Other newpapers 1 (1 )",Udi
"Boko Haram Attack, Borno",11 people were killed when Boko haram insurgents attacked a community. The attack was successful following the withdrawal of Chadian troops from the community.,2015-03-17T23:00:00.000Z,Gamboru,13,"political issue, religious issue","Daily Trust (14 ) , The Guardian (11 ) , Nigerian Tribune (13 )",Ngala
"Boko Haram Slaughter Wives, Borno",Dozens of women married to Boko haram insurgents were slaughtered in the bid to stop them from marrying 'infidels' or soldiers. The victims were killed by their husbands before a battle with soldiers. It is assumed that at least 2 dozens (24) of the women were killed. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-03-17T23:00:00.000Z,Bama,24,"political issue, religious issue","Nigerian Tribune (24 ) , Daily Trust (24 )",Bama
"Boko Haram Killings, Borno",Scores (assuming 2 scores at least) of dead bodies believed to be hostages or those who resisted Boko haram indoctrination were discovered in water wells in a community. Some of the victims who included women and children were believed to have been executed on the River Bama Bridge before the insurgents fled the community. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-03-17T23:00:00.000Z,Bama,40,"political issue, religious issue","Daily Trust (40 ) , Vanguard (40 )",Bama
"Boko Haram Suspect vs Mob, Kano",A man suspected to be a member of the Boko haram sect was lynched by an angry mob after a gun and a suicide vest was discovered on him. The date of the incident was not given but it is assumed that it happened 2 days before it was reported.,2015-03-17T23:00:00.000Z,Unguwa Uku,1,"political issue, religious issue",Other newspaper 2 (1 ),Tarauni
"Gunmen Behead, Rivers","Mr. Ukeoma, 28-year-old man was beheaded by unknown gunmen. The killing is associated with the forthcoming legislative re-run elections on March 19th. Cultists were implicated in the incident.",2015-03-16T23:00:00.000Z,Mgbuitanwo community,1,crime,The Nation (1 ),Emuoha
"Boko Haram Suicide Bomber, Borno",A teenage girl blew herself up when security agents tried to arrest her for terrorism. Other 3 suicide bombers were killed before they could approach their targets.,2015-03-14T23:00:00.000Z,IDC camp within Government Girls Secondary School in Yerwa.,4,"political issue, religious issue",The Punch (4 ),Kaga
"Fulani Herdsmen Attack, Benue","Some Fulani herdsmen numbering about 70 came with arrows, locally-made guns and knives when most people were still asleep and killed over 95 people, most of who were women and children. Several houses were also burnt.",2015-03-14T23:00:00.000Z,Egba.,91,crime,"Nigerian Tribune (80 ) , Vanguard (90 ) , The Punch (95 ) , Other newpapers 1 (100 )",Agatu
"Cattle Rustlers vs Herdsmen, Plateau",9 Fulani herdsmen were killed by cattle rustlers while they were grazing. About 765 cattles were also rustled in the incident.,2015-03-14T23:00:00.000Z,Foron,9,crime,Other newspaper 2 (9 ),Barkin Ladi
